split,seed,relation,disease_id,variant,auprc,auroc,n_pos,n_candidates,dd_degree_train,kg_degree,spearman_A_B,tag
cardiovascular,1,indication,6955.0,p_A,0.02962447215594075,0.9113098565306503,9,1798,0.0,4.0,0.520310377895966,varA
cardiovascular,1,indication,6955.0,p_B,0.004623601254446607,0.43450717346748646,9,1798,0.0,4.0,0.520310377895966,varA
cardiovascular,1,indication,6955.0,fuse_rankavg,0.008760132711054884,0.7072852617849823,9,1798,0.0,4.0,0.520310377895966,varA
cardiovascular,1,indication,5009.0,p_A,0.02877487520939049,0.5900644963144963,22,1798,0.0,92.0,0.21753726471862503,varA
cardiovascular,1,indication,5009.0,p_B,0.018342381111782647,0.6741144553644554,22,1798,0.0,92.0,0.21753726471862503,varA
cardiovascular,1,indication,5009.0,fuse_rankavg,0.020792042419652268,0.6726172194922195,22,1798,0.0,92.0,0.21753726471862503,varA
cardiovascular,1,indication,5044.0,p_A,0.0430894558248927,0.2383194432511384,103,1798,0.0,19.0,0.4899682961962724,varA
cardiovascular,1,indication,5044.0,p_B,0.037957748160179404,0.2963427556777501,103,1798,0.0,19.0,0.4899682961962724,varA
cardiovascular,1,indication,5044.0,fuse_rankavg,0.03698007610729219,0.2337371480940516,103,1798,0.0,19.0,0.4899682961962724,varA
cardiovascular,1,indication,2277.0,p_A,0.03321410050649197,0.8092047539283719,7,1798,0.0,97.0,0.1000654801881358,varA
cardiovascular,1,indication,2277.0,p_B,0.008456018601130622,0.7342266890005583,7,1798,0.0,97.0,0.1000654801881358,varA
cardiovascular,1,indication,2277.0,fuse_rankavg,0.043608303918267,0.8497248145489351,7,1798,0.0,97.0,0.1000654801881358,varA
cardiovascular,1,indication,5311.0,p_A,0.013042038682969935,0.7863922788545904,7,1798,0.0,99.0,0.24655079996103035,varA
cardiovascular,1,indication,5311.0,p_B,0.004622026625303436,0.5372896227167584,7,1798,0.0,99.0,0.24655079996103035,varA
cardiovascular,1,indication,5311.0,fuse_rankavg,0.010040785589866276,0.7294009731195661,7,1798,0.0,99.0,0.24655079996103035,varA
cardiovascular,1,indication,5068.0,p_A,0.09534875588050284,0.9011862617228744,9,1798,0.0,83.0,0.09901046282719111,varA
